"","id_A","id_B","protein_A","protein_B","complex"
"1",16451,16448,"p17787-pro_0000000379","p43681-pro_0000000351","2xchrna4-3xchrnb2_human"
"2",16454,16447,"p17787-pro_0000000379","p43681-pro_0000000351","2xchrna4-3xchrnb2_human"
"3",16457,16450,"p43681-pro_0000000351","p17787-pro_0000000379","2xchrna4-3xchrnb2_human"
"4",16459,16456,"p17787-pro_0000000379","p43681-pro_0000000351","2xchrna4-3xchrnb2_human"
"5",16460,16453,"p17787-pro_0000000379","p17787-pro_0000000379","2xchrna4-3xchrnb2_human"
"6",9782,9779,"p43681-pro_0000000351","p43681-pro_0000000351","3xchrna4-2xchrnb2_human"
"7",9786,9783,"p17787-pro_0000000379","p43681-pro_0000000351","3xchrna4-2xchrnb2_human"
"8",9789,9785,"p43681-pro_0000000351","p17787-pro_0000000379","3xchrna4-2xchrnb2_human"
"9",9791,9780,"p17787-pro_0000000379","p43681-pro_0000000351","3xchrna4-2xchrnb2_human"
"10",9792,9788,"p17787-pro_0000000379","p43681-pro_0000000351","3xchrna4-2xchrnb2_human"
"11",9782,9779,"p43681-pro_0000000351","p43681-pro_0000000351","3xchrna4-2xchrnb2_human"
"12",9786,9783,"p17787-pro_0000000379","p43681-pro_0000000351","3xchrna4-2xchrnb2_human"
"13",9789,9785,"p43681-pro_0000000351","p17787-pro_0000000379","3xchrna4-2xchrnb2_human"
"14",9791,9780,"p17787-pro_0000000379","p43681-pro_0000000351","3xchrna4-2xchrnb2_human"
"15",9792,9788,"p17787-pro_0000000379","p43681-pro_0000000351","3xchrna4-2xchrnb2_human"
"16",13649,13647,"p05067-pro_0000000092","p05067-pro_0000000093","abeta-40-42-oligomer_human"
"17",13315,13313,"p05067-pro_0000000092","p05067-pro_0000000093","abeta-40-42_human"
"18",13850,13848,"p05067-pro_0000000093","p05067-pro_0000000093","abeta-40-oligomer_human"
"19",13346,13344,"p05067-pro_0000000093","p05067-pro_0000000093","abeta-40_human"
"20",13664,13662,"p05067-pro_0000000092","p05067-pro_0000000092","abeta-42-oligomer_human"
"21",13353,13351,"p05067-pro_0000000092","p05067-pro_0000000092","abeta-42_human"
"22",9562,9560,"p15309-pro_0000023963","p15309-pro_0000023963","acpp_human"
"23",12223,12221,"s10aa_human","ahnk_human","ahnak-anxa2-s100a10_human"
"24",12227,12225,"s10aa_human","s10aa_human","ahnak-anxa2-s100a10_human"
"25",12229,12221,"s10aa_human","ahnk_human","ahnak-anxa2-s100a10_human"
"26",12231,12221,"anxa2_human","ahnk_human","ahnak-anxa2-s100a10_human"
"27",12232,12224,"anxa2_human","s10aa_human","ahnak-anxa2-s100a10_human"
"28",12233,12217,"anxa2_human","calcium(2+)","ahnak-anxa2-s100a10_human"
"29",12235,12219,"anxa2_human","calcium(2+)","ahnak-anxa2-s100a10_human"
"30",12236,12221,"anxa2_human","ahnk_human","ahnak-anxa2-s100a10_human"
"31",12237,12228,"anxa2_human","s10aa_human","ahnak-anxa2-s100a10_human"
"32",12223,12221,"s10aa_human","ahnk_human","ahnak-anxa2-s100a10_human"
"33",12227,12225,"s10aa_human","s10aa_human","ahnak-anxa2-s100a10_human"
"34",12229,12221,"s10aa_human","ahnk_human","ahnak-anxa2-s100a10_human"
"35",12231,12221,"anxa2_human","ahnk_human","ahnak-anxa2-s100a10_human"
"36",12232,12224,"anxa2_human","s10aa_human","ahnak-anxa2-s100a10_human"
"37",12233,12217,"anxa2_human","calcium(2+)","ahnak-anxa2-s100a10_human"
"38",12235,12219,"anxa2_human","calcium(2+)","ahnak-anxa2-s100a10_human"
"39",12236,12221,"anxa2_human","ahnk_human","ahnak-anxa2-s100a10_human"
"40",12237,12228,"anxa2_human","s10aa_human","ahnak-anxa2-s100a10_human"
"41",15086,15084,"ncbp1_human","ncbp3_human","alt-cbc_human"
"42",16492,16490,"calrl_human","o60895-pro_0000030172","am1-receptor_human"
"43",17294,17292,"o60896-pro_0000030176","calrl_human","am2-receptor_human"
"44",16394,16392,"calcr_human","ramp1_human","amy1-receptor_human"
"45",17343,17341,"ramp2_human","calcr_human","amy2-receptor_human"
"46",17351,17349,"ramp3_human","calcr_human","amy3-receptor_human"
"47",17351,17349,"ramp3_human","calcr_human","amy3-receptor_human"
"48",9601,9599,"anxa2_human","pcsk9_human","anxa2-pcsk9_human"
"49",12272,12269,"hltf_human","hltf_human","anxa2-s100a10-smarca3_human"
"50",12277,12267,"s10aa_human","hltf_human","anxa2-s100a10-smarca3_human"
"51",12279,12275,"s10aa_human","s10aa_human","anxa2-s100a10-smarca3_human"
"52",12281,12271,"s10aa_human","hltf_human","anxa2-s100a10-smarca3_human"
"53",12283,12268,"anxa2_human","hltf_human","anxa2-s100a10-smarca3_human"
"54",12284,12276,"anxa2_human","s10aa_human","anxa2-s100a10-smarca3_human"
"55",12286,12280,"anxa2_human","s10aa_human","anxa2-s100a10-smarca3_human"
"56",12287,12273,"anxa2_human","hltf_human","anxa2-s100a10-smarca3_human"
"57",12248,12245,"s10aa_human","s10aa_human","anxa2_s100a10_human"
"58",12250,12244,"anxa2_human","s10aa_human","anxa2_s100a10_human"
"59",12254,12247,"anxa2_human","s10aa_human","anxa2_s100a10_human"
"60",12258,12252,"calcium(2+)","anxa2_human","anxa2_s100a10_human"
"61",12260,12256,"calcium(2+)","anxa2_human","anxa2_s100a10_human"
"62",12248,12245,"s10aa_human","s10aa_human","anxa2_s100a10_human"
"63",12250,12244,"anxa2_human","s10aa_human","anxa2_s100a10_human"
"64",12254,12247,"anxa2_human","s10aa_human","anxa2_s100a10_human"
"65",12258,12252,"calcium(2+)","anxa2_human","anxa2_s100a10_human"
