"","id_A","id_B","protein_A","protein_B","complex"
"1",18644,18640,"q9erk7-pro_0000000380","o70174-pro_0000000352","2xchrna4-3xchrnb2_mouse"
"2",18649,18643,"o70174-pro_0000000352","q9erk7-pro_0000000380","2xchrna4-3xchrnb2_mouse"
"3",18650,18647,"o70174-pro_0000000352","q9erk7-pro_0000000380","2xchrna4-3xchrnb2_mouse"
"4",18652,18641,"q9erk7-pro_0000000380","o70174-pro_0000000352","2xchrna4-3xchrnb2_mouse"
"5",18653,18646,"q9erk7-pro_0000000380","q9erk7-pro_0000000380","2xchrna4-3xchrnb2_mouse"
"6",18624,18622,"o70174-pro_0000000352","o70174-pro_0000000352","3xchrna4-2xchrnb2_mouse"
"7",18628,18625,"q9erk7-pro_0000000380","o70174-pro_0000000352","3xchrna4-2xchrnb2_mouse"
"8",18631,18627,"o70174-pro_0000000352","q9erk7-pro_0000000380","3xchrna4-2xchrnb2_mouse"
"9",18633,18630,"q9erk7-pro_0000000380","o70174-pro_0000000352","3xchrna4-2xchrnb2_mouse"
"10",18634,18621,"q9erk7-pro_0000000380","o70174-pro_0000000352","3xchrna4-2xchrnb2_mouse"
"11",22654,22652,"p12023-pro_0000000119","p12023-pro_0000000118","abeta-40-42-oligomer_mouse"
"12",22428,22426,"p12023-pro_0000000118","p12023-pro_0000000119","abeta-40-42_mouse"
"13",22773,22771,"p12023-pro_0000000119","p12023-pro_0000000119","abeta-40-oligomer_mouse"
"14",22435,22433,"p12023-pro_0000000119","p12023-pro_0000000119","abeta-40_mouse"
"15",22727,22725,"p12023-pro_0000000118","p12023-pro_0000000118","abeta-42-oligomer_mouse"
"16",22442,22440,"p12023-pro_0000000118","p12023-pro_0000000118","abeta-42_mouse"
"17",18340,18338,"q8ce08-pro_0000356293","q8ce08-pro_0000356293","acpp_mouse"
"18",21312,21310,"s10aa_mouse","e9q616_mouse","ahnak-anxa2-s100a10_mouse"
"19",21316,21314,"s10aa_mouse","s10aa_mouse","ahnak-anxa2-s100a10_mouse"
"20",21318,21310,"s10aa_mouse","e9q616_mouse","ahnak-anxa2-s100a10_mouse"
"21",21320,21310,"anxa2_mouse","e9q616_mouse","ahnak-anxa2-s100a10_mouse"
"22",21321,21313,"anxa2_mouse","s10aa_mouse","ahnak-anxa2-s100a10_mouse"
"23",21322,21306,"anxa2_mouse","calcium(2+)","ahnak-anxa2-s100a10_mouse"
"24",21324,21308,"anxa2_mouse","calcium(2+)","ahnak-anxa2-s100a10_mouse"
"25",21325,21310,"anxa2_mouse","e9q616_mouse","ahnak-anxa2-s100a10_mouse"
"26",21326,21317,"anxa2_mouse","s10aa_mouse","ahnak-anxa2-s100a10_mouse"
"27",21312,21310,"s10aa_mouse","e9q616_mouse","ahnak-anxa2-s100a10_mouse"
"28",21316,21314,"s10aa_mouse","s10aa_mouse","ahnak-anxa2-s100a10_mouse"
"29",21318,21310,"s10aa_mouse","e9q616_mouse","ahnak-anxa2-s100a10_mouse"
"30",21320,21310,"anxa2_mouse","e9q616_mouse","ahnak-anxa2-s100a10_mouse"
"31",21321,21313,"anxa2_mouse","s10aa_mouse","ahnak-anxa2-s100a10_mouse"
"32",21322,21306,"anxa2_mouse","calcium(2+)","ahnak-anxa2-s100a10_mouse"
"33",21324,21308,"anxa2_mouse","calcium(2+)","ahnak-anxa2-s100a10_mouse"
"34",21325,21310,"anxa2_mouse","e9q616_mouse","ahnak-anxa2-s100a10_mouse"
"35",21326,21317,"anxa2_mouse","s10aa_mouse","ahnak-anxa2-s100a10_mouse"
"36",24058,24056,"ncbp1_mouse","ncbp3_mouse","alt-cbc_mouse"
"37",25598,25596,"calrl_mouse","q9wup0-pro_0000030173","am1-receptor_mouse"
"38",25606,25604,"q9wup1-pro_0000030177","calrl_mouse","am2-receptor_mouse"
"39",25826,25824,"ramp1_mouse","calcr_mouse","amy1-receptor_mouse"
"40",25834,25832,"calcr_mouse","ramp2_mouse","amy2-receptor_mouse"
