"","id_A","id_B","protein_A","protein_B","complex"
"1",11774,11772,"mgn2_human","rbm8a_human","y14-magohb_human"
"2",11774,11772,"mgn2_human","rbm8a_human","y14-magohb_human"
"3",11774,11772,"mgn2_human","rbm8a_human","y14-magohb_human"
"4",31946,31922,"rla0_yeast","rpl1a_rpl1b_yeast","60s_yeast"
"5",31947,31920,"rla0_yeast","rpl2a_rpl2b_yeast","60s_yeast"
"6",33817,33815,"mec3_yeast","rad17_yeast","9-1-1-clamp_yeast"
"7",33817,33815,"mec3_yeast","rad17_yeast","9-1-1-clamp_yeast"
"8",33817,33815,"mec3_yeast","rad17_yeast","9-1-1-clamp_yeast"
"9",33817,33815,"mec3_yeast","rad17_yeast","9-1-1-clamp_yeast"
"10",35466,35457,"ilvb_yeast","thiamine(1+) diphosphate","ahas_yeast"
"11",35467,35460,"ilvb_yeast","magnesium(2+)","ahas_yeast"
"12",35468,35461,"ilvb_yeast","magnesium(2+)","ahas_yeast"
"13",35469,35464,"ilvb_yeast","fad","ahas_yeast"
"14",35470,35459,"ilvb_yeast","magnesium(2+)","ahas_yeast"
"15",35472,35463,"ilvb_yeast","fad","ahas_yeast"
"16",35473,35456,"ilvb_yeast","thiamine(1+) diphosphate","ahas_yeast"
"17",35475,35471,"ilv6_yeast","ilvb_yeast","ahas_yeast"
"18",32267,32265,"tda2_yeast","aim21_yeast","aim21-tda2_yeast"
"19",32267,32265,"tda2_yeast","aim21_yeast","aim21-tda2_yeast"
"20",32267,32265,"tda2_yeast","aim21_yeast","aim21-tda2_yeast"
"21",28424,28422,"ap1b1_yeast","ap1m1_yeast","ap1_yeast-1"
"22",28425,28419,"ap1b1_yeast","ap1s1_yeast","ap1_yeast-1"
"23",28428,28420,"ap1g1_yeast","ap1s1_yeast","ap1_yeast-1"
"24",28429,28426,"ap1g1_yeast","ap1b1_yeast","ap1_yeast-1"
"25",28442,28440,"ap1b1_yeast","apm2_yeast","ap1r_yeast"
"26",28443,28437,"ap1b1_yeast","ap1s1_yeast","ap1r_yeast"
"27",28446,28438,"ap1g1_yeast","ap1s1_yeast","ap1r_yeast"
"28",28447,28444,"ap1g1_yeast","ap1b1_yeast","ap1r_yeast"
"29",28442,28440,"ap1b1_yeast","apm2_yeast","ap1r_yeast"
"30",28443,28437,"ap1b1_yeast","ap1s1_yeast","ap1r_yeast"
"31",28446,28438,"ap1g1_yeast","ap1s1_yeast","ap1r_yeast"
"32",28447,28444,"ap1g1_yeast","ap1b1_yeast","ap1r_yeast"
"33",28470,28467,"ap3b_yeast","ap3m_yeast","ap3_yeast"
"34",28473,28465,"ap3d_yeast","ap3s_yeast","ap3_yeast"
"35",28474,28471,"ap3d_yeast","ap3b_yeast","ap3_yeast"
"36",28475,28468,"ap3d_yeast","ap3m_yeast","ap3_yeast"
"37",28470,28467,"ap3b_yeast","ap3m_yeast","ap3_yeast"
"38",28473,28465,"ap3d_yeast","ap3s_yeast","ap3_yeast"
"39",28474,28471,"ap3d_yeast","ap3b_yeast","ap3_yeast"
"40",28475,28468,"ap3d_yeast","ap3m_yeast","ap3_yeast"
"41",28470,28467,"ap3b_yeast","ap3m_yeast","ap3_yeast"
"42",28473,28465,"ap3d_yeast","ap3s_yeast","ap3_yeast"
"43",28474,28471,"ap3d_yeast","ap3b_yeast","ap3_yeast"
"44",28475,28468,"ap3d_yeast","ap3m_yeast","ap3_yeast"
"45",28470,28467,"ap3b_yeast","ap3m_yeast","ap3_yeast"
"46",28473,28465,"ap3d_yeast","ap3s_yeast","ap3_yeast"
"47",28474,28471,"ap3d_yeast","ap3b_yeast","ap3_yeast"
"48",28475,28468,"ap3d_yeast","ap3m_yeast","ap3_yeast"
"49",28470,28467,"ap3b_yeast","ap3m_yeast","ap3_yeast"
"50",28473,28465,"ap3d_yeast","ap3s_yeast","ap3_yeast"
"51",28474,28471,"ap3d_yeast","ap3b_yeast","ap3_yeast"
"52",28475,28468,"ap3d_yeast","ap3m_yeast","ap3_yeast"
"53",34767,34765,"arc1_yeast","symc_yeast","arc1-gus1-mes1_yeast"
"54",34771,34768,"syec_yeast","arc1_yeast","arc1-gus1-mes1_yeast"
"55",34767,34765,"arc1_yeast","symc_yeast","arc1-gus1-mes1_yeast"
"56",34771,34768,"syec_yeast","arc1_yeast","arc1-gus1-mes1_yeast"
"57",30357,30354,"mcm1_yeast","ipmk_yeast","argr_yeast"
"58",30361,30355,"argr1_yeast","ipmk_yeast","argr_yeast"
"59",30363,30360,"argr2_yeast","argr1_yeast","argr_yeast"
"60",30364,30358,"argr2_yeast","mcm1_yeast","argr_yeast"
"61",30357,30354,"mcm1_yeast","ipmk_yeast","argr_yeast"
"62",30361,30355,"argr1_yeast","ipmk_yeast","argr_yeast"
"63",30363,30360,"argr2_yeast","argr1_yeast","argr_yeast"
"64",30364,30358,"argr2_yeast","mcm1_yeast","argr_yeast"
"65",30357,30354,"mcm1_yeast","ipmk_yeast","argr_yeast"
"66",30361,30355,"argr1_yeast","ipmk_yeast","argr_yeast"
"67",30363,30360,"argr2_yeast","argr1_yeast","argr_yeast"
"68",30364,30358,"argr2_yeast","mcm1_yeast","argr_yeast"
"69",34077,34075,"atg16_yeast","atg5_yeast","atg12-atg5-atg16_yeast"
"70",34079,34074,"atg12_yeast","atg5_yeast","atg12-atg5-atg16_yeast"
"71",34067,34065,"atg5_yeast","atg12_yeast","atg12-atg5_yeast"
"72",28232,28228,"atg31_yeast","atg17_yeast","atg17-atg29-atg31_yeast"
"73",28233,28230,"atg31_yeast","atg29_yeast","atg17-atg29-atg31_yeast"
"74",28239,28236,"atg31_yeast","atg29_yeast","atg17-atg29-atg31_yeast"
"75",28242,28227,"atg17_yeast","atg17_yeast","atg17-atg29-atg31_yeast"
"76",28243,28238,"atg17_yeast","atg31_yeast","atg17-atg29-atg31_yeast"
"77",33166,33164,"atg17_yeast","atg31_yeast","atg1_yeast-1"
"78",33168,33158,"atg17_yeast","atg13_yeast","atg1_yeast-1"
"79",33172,33170,"atg31_yeast","atg29_yeast","atg1_yeast-1"
"80",33175,33173,"atg17_yeast","atg31_yeast","atg1_yeast-1"
"81",33176,33167,"atg17_yeast","atg17_yeast","atg1_yeast-1"
"82",33179,33163,"atg29_yeast","atg31_yeast","atg1_yeast-1"
"83",33181,33157,"atg1_yeast","atg13_yeast","atg1_yeast-1"
"84",33182,33161,"atg1_yeast","atg1_yeast","atg1_yeast-1"
"85",33184,33160,"atg13_yeast","atg1_yeast","atg1_yeast-1"
"86",33185,33177,"atg13_yeast","atg17_yeast","atg1_yeast-1"
"87",28114,28112,"atg2_yeast","atg18_yeast","atg2-18_yeast"
"88",32275,32273,"atr_yeast","lcd1_yeast","atr_atrip_yeast"
"89",32275,32273,"atr_yeast","lcd1_yeast","atr_atrip_yeast"
"90",31660,31658,"bbp_yeast","mud2_yeast","bbp-mud2_yeast"
"91",31195,31191,"bi3_intron_yeast_mrna","mrs1_yeast","bi3_intron_splicing_yeast"
"92",31196,31193,"bi3_intron_yeast_mrna","mbi3_yeast","bi3_intron_splicing_yeast"
"93",31101,31098,"bi4_intron_yeast_mrna","sylm_yeast","bi4_intron_splicing_yeast"
"94",31103,31100,"mbi4_yeast","bi4_intron_yeast_mrna","bi4_intron_splicing_yeast"
"95",30378,30374,"kxd1_yeast","bl1s4_yeast","bloc1_yeast"
"96",30383,30377,"vab2_yeast","kxd1_yeast","bloc1_yeast"
"97",30384,30381,"vab2_yeast","snapn_yeast","bloc1_yeast"
"98",30386,30380,"bli1_yeast","snapn_yeast","bloc1_yeast"
"99",32145,32142,"bms1_yeast","gtp","bms1-rcl1_yeast"
"100",32147,32144,"rcl1_yeast","bms1_yeast","bms1-rcl1_yeast"
"101",29129,29126,"fbrl_yeast","snu13_yeast","boxc_d_yeast"
"102",29132,29124,"fbrl_yeast","s-adenosyl-l-methioninate","boxc_d_yeast"
"103",29134,29131,"nop58_yeast","fbrl_yeast","boxc_d_yeast"
"104",29136,29130,"nop56_yeast","fbrl_yeast","boxc_d_yeast"
"105",29157,29154,"gar1_yeast","nhp2_yeast","boxh_aca_yeast"
"106",29162,29159,"cbf5_yeast","gar1_yeast","boxh_aca_yeast"
"107",29164,29158,"nop10_yeast","gar1_yeast","boxh_aca_yeast"
"108",29165,29161,"nop10_yeast","cbf5_yeast","boxh_aca_yeast"
"109",29166,29155,"nop10_yeast","nhp2_yeast","boxh_aca_yeast"
"110",35344,35342,"ubc2_yeast","bre1_yeast","bre1-rad6_yeast"
"111",35351,35349,"bre1_yeast","bre1_yeast","bre1_yeast-1"
"112",31091,31089,"naca_yeast","nacb2_yeast","btt1-egd2_yeast-1"
"113",27902,27900,"bub1_yeast","bub3_yeast","bub1-bub3_yeast"
"114",27902,27900,"bub1_yeast","bub3_yeast","bub1-bub3_yeast"
"115",33418,33415,"pp12_yeast","bud14_yeast","bud14-glc7_yeast"
